indicator,category,quality_category,valid_percentage,selection,selection_reason
home_births_that_were_conducted_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
births_attended_by_skilled_health_personnel_in_the_5_years_before_the_survey_10_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
births_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
births_in_a_private_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,Moderate,78.75354107648725,Core,Primary healthcare gap indicator
births_in_a_public_health_facility_that_were_delivered_by_caesarean_section_in_the_5_years_before_the_survey_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
children_age_12_23_months_fully_vaccinated_based_on_information_from_either_vaccination_card_or_mother_s_recall11_pct,Maternal & Newborn Health,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_12_23_months_fully_vaccinated_based_on_information_from_vaccination_card_only12_pct,Child Immunization,High,96.88385269121812,Core,Primary healthcare gap indicator
children_age_12_23_months_who_have_received_bcg_pct,Child Immunization,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_12_23_months_who_have_received_3_doses_of_polio_vaccine13_pct,Child Immunization,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_12_23_months_who_have_received_3_doses_of_penta_or_dpt_vaccine_pct,Child Immunization,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_12_23_months_who_have_received_the_first_dose_of_measles_containing_vaccine_mcv_pct,Child Immunization,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_24_35_months_who_have_received_a_second_dose_of_measles_containing_vaccine_mcv_pct,Child Immunization,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_12_23_months_who_have_received_3_doses_of_rotavirus_vaccine14_pct,Child Immunization,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_12_23_months_who_have_received_3_doses_of_penta_or_hepatitis_b_vaccine_pct,Child Immunization,High,98.15864022662889,Core,Primary healthcare gap indicator
children_age_9_35_months_who_received_a_vitamin_a_dose_in_the_last_6_months_pct,Child Nutrition,High,99.85835694050992,Core,Primary healthcare gap indicator
children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_public_health_facility_pct,Child Immunization,High,97.73371104815864,Core,Primary healthcare gap indicator
children_age_12_23_months_who_received_most_of_their_vaccinations_in_a_private_health_facility_pct,Child Immunization,High,97.73371104815864,Core,Primary healthcare gap indicator
prevalence_of_diarrhoea_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,Child Illness & Healthcare Access,High,100.0,Core,Primary healthcare gap indicator
children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_oral_rehydration_salts_ors_children_under_age_5_years_pct,Child Illness & Healthcare Access,Low,30.31161473087819,Exclude,Low data coverage
children_with_diarrhoea_in_the_2_weeks_preceding_the_survey_who_received_zinc_children_under_age_5_years_pct,Child Illness & Healthcare Access,Low,30.31161473087819,Exclude,Low data coverage
children_swith_diarrhoea_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct,Child Illness & Healthcare Access,Low,30.31161473087819,Exclude,Low data coverage
children_prevalence_of_symptoms_of_acute_respiratory_infection_ari_in_the_2_weeks_preceding_the_survey_children_under_age_5_years_pct,Child Illness & Healthcare Access,High,100.0,Core,Primary healthcare gap indicator
children_with_fever_or_symptoms_of_ari_in_the_2_weeks_preceding_the_survey_taken_to_a_health_facility_or_health_provider_children_under_age_5_years_pct,Child Illness & Healthcare Access,Low,68.27195467422096,Exclude,Low data coverage
children_under_age_3_years_breastfed_within_one_hour_of_birth15_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
children_under_age_6_months_exclusively_breastfed16_pct,Child Nutrition,Low,63.03116147308781,Exclude,Low data coverage
children_age_6_8_months_receiving_solid_or_semi_solid_food_and_breastmilk16_pct,Child Nutrition,Low,9.06515580736544,Exclude,Low data coverage
breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,Child Nutrition,High,99.29178470254958,Core,Primary healthcare gap indicator
non_breastfeeding_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,Child Nutrition,Low,8.923512747875353,Exclude,Low data coverage
total_children_age_6_23_months_receiving_an_adequate_diet16_17_pct,Child Nutrition,High,99.85835694050992,Core,Primary healthcare gap indicator
children_under_5_years_who_are_stunted_height_for_age_18_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
children_under_5_years_who_are_wasted_weight_for_height_18_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
children_under_5_years_who_are_severely_wasted_weight_for_height_19_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
children_under_5_years_who_are_underweight_weight_for_age_18_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
children_under_5_years_who_are_overweight_weight_for_height_20_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
women_age_15_49_years_whose_body_mass_index_bmi_is_below_normal_bmi_18_5_kg_m2_21_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_49_years_who_are_overweight_or_obese_bmi_25_0_kg_m2_21_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
women_age_15_49_years_who_have_high_risk_waist_to_hip_ratio_0_85_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
children_age_6_59_months_who_are_anaemic_11_0_g_dl_22_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
non_pregnant_women_age_15_49_years_who_are_anaemic_12_0_g_dl_22_pct,Maternal & Newborn Health,High,100.0,Core,Primary healthcare gap indicator
pregnant_women_age_15_49_years_who_are_anaemic_11_0_g_dl_22_pct,Maternal & Newborn Health,Moderate,81.01983002832861,Core,Primary healthcare gap indicator
all_women_age_15_49_years_who_are_anaemic22_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
all_women_age_15_19_years_who_are_anaemic22_pct,Child Nutrition,High,100.0,Core,Primary healthcare gap indicator
women_age_15_years_and_above_with_high_141_160_mg_dl_blood_sugar_level23_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_wih_high_141_160_mg_dl_blood_sugar_level23_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_wih_very_high_160_mg_dl_blood_sugar_level23_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_wih_high_or_very_high_140_mg_dl_blood_sugar_level_or_taking_medicine_to_control_blood_sugar_level23_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_wih_mildly_elevated_blood_pressure_systolic_140_159_mm_of_hg_and_or_diastolic_90_99_mm_of_hg_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_wih_moderately_or_severely_elevated_blood_pressure_systolic_160_mm_of_hg_and_or_diastolic_100_mm_of_hg_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_wih_elevated_blood_pressure_systolic_140_mm_of_hg_and_or_diastolic_90_mm_of_hg_or_taking_medicine_to_control_blood_pressure_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_30_49_years_ever_undergone_a_screening_test_for_cervical_cancer_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_30_49_years_ever_undergone_a_breast_examination_for_breast_cancer_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_30_49_years_ever_undergone_an_oral_cavity_examination_for_oral_cancer_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_years_and_above_who_use_any_kind_of_tobacco_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_who_use_any_kind_of_tobacco_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
women_age_15_years_and_above_who_consume_alcohol_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
men_age_15_years_and_above_who_consume_alcohol_pct,Adult Health & Risk Factors,High,100.0,Supporting,Supporting/contextual indicator
